,Unnamed: 0,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,name,gender,publish_date
9299,9299,PG64649_text,The Herschels and Modern Astronomy,"Clerke, Agnes M. (Agnes Mary)",1842.0,1907.0,['en'],21,"{'Herschel, William, 1738-1822', 'Herschel, John F. W. (John Frederick William), 1792-1871', 'Astronomy -- History', 'Herschel, Caroline Lucretia, 1750-1848'}",agnes,F,1892
9300,9300,PG64651_text,Design for Doomsday,"Walton, Bryce",1918.0,1988.0,['en'],13,"{'Venus (Planet) -- Fiction', 'Adventure stories', 'Science fiction'}",bryce,M,1968
9301,9301,PG64653_text,"Biographical catalogue of the portraits at Longleat in the county of Wilts, the seat of the Marquis of Bath","Boyle, Mary Louisa",1810.0,1890.0,['en'],20,"{'Longleat House (Warminster, England)', 'Private collections -- Great Britain -- Catalogs', 'Bath, John Alexander Thynne, Marquis of, 1831-1896 -- Art collections -- Catalogs', 'Great Britain -- Biography -- Portraits -- Catalogs'}",mary,F,1860
9302,9302,PG64654_text,Harvesting Ants and Trap-Door Spiders: Notes and Observations on Their Habits and Dwellings,"Moggridge, John Traherne",1842.0,1874.0,['en'],10,"{'Trap-door spiders', 'Ants'}",john,M,1892
9303,9303,PG64657_text,The Brass Check: A Study of American Journalism,"Sinclair, Upton",1878.0,1968.0,['en'],74,"{'Associated Press', 'Journalism -- United States', 'Press -- United States'}",upton,M,1928
9304,9304,PG64658_text,When Kohonnes Screamed,"Fox, Gardner F. (Gardner Francis)",1911.0,1986.0,['en'],15,"{'Adventure stories', 'Science fiction'}",gardner,M,1961
9305,9305,PG64664_text,"Buffalo Bill's Ruse; Or, Won by Sheer Nerve","Ingraham, Prentiss",1843.0,1904.0,['en'],11,"{'Buffalo Bill, 1846-1917 -- Fiction', 'Dime novels'}",prentiss,M,1893
9306,9306,PG64667_text,When the Spoilers Came,"Williams, Robert Moore",1907.0,1977.0,['en'],20,"{'Adventure stories', 'Mars (Planet) -- Fiction', 'Science fiction'}",robert,M,1957
9307,9307,PG64669_text,"Philip Rollo; or, the Scottish Musketeers, Vol. 1 (of 2)","Grant, James",1822.0,1887.0,['en'],10,"{""Thirty Years' War, 1618-1648 -- Fiction""}",james,M,1872
9308,9308,PG64670_text,"Philip Rollo; or, the Scottish Musketeers, Vol. 2 (of 2)","Grant, James",1822.0,1887.0,['en'],12,"{""Thirty Years' War, 1618-1648 -- Fiction""}",james,M,1872
9309,9309,PG64671_text,Secret Diplomacy: How Far Can It Be Eliminated?,"Reinsch, Paul S. (Paul Samuel)",1869.0,1923.0,['en'],20,"{'Diplomacy', 'Europe -- Politics and government'}",paul,M,1919
9310,9310,PG64672_text,Tubemonkey,"Bixby, Jerome",1923.0,1998.0,['en'],19,"{'Space ships -- Fiction', 'Men with mental disabilities -- Fiction', 'Short stories', 'Spy stories', 'Science fiction'}",jerome,M,1973
9311,9311,PG64673_text,Pillar of Fire,"Bradbury, Ray",1920.0,2012.0,['en'],203,"{'Science fiction', 'Horror tales', 'Murderers -- Fiction'}",ray,M,1970
9312,9312,PG64675_text,In Brightest Africa,"Akeley, Carl Ethan",1864.0,1926.0,['en'],57,"{'Africa, East -- Description and travel', 'Hunting -- Africa, East', 'Akeley, Carl Ethan, 1864-1926 -- Travel -- Africa, East', 'Gorilla'}",carl,M,1914
9313,9313,PG64678_text,The First Man on the Moon,"Coppel, Alfred",1921.0,2004.0,['en'],27,"{'Short stories', 'Space flight to the moon -- Fiction', 'Science fiction', 'Murderers -- Fiction'}",alfred,M,1971
9314,9314,PG64681_text,Jessica Trent's Inheritance,"Raymond, Evelyn",1843.0,1910.0,['en'],30,"{'United States -- Juvenile fiction', 'Girls -- Juvenile fiction', 'Families -- Juvenile fiction'}",evelyn,F,1893
9315,9315,PG64683_text,The Kingdom of Promise and Prophecy,"Whiteside, Robertson L.",1869.0,1951.0,['en'],11,{'Bible -- Prophecies'},robertson,M,1919
9316,9316,PG64684_text,"Hawkins-Davison Houses, Frederica, St. Simons Island, Georgia","Cate, Margaret Davis",1888.0,1961.0,['en'],4,"{'Dwellings -- Georgia -- Saint Simons Island', 'Fort Frederica National Monument (Ga.)', 'Saint Simons Island (Ga. : Island) -- History'}",margaret,F,1938
